TimeStamp	CCD3_OD_T                      	CCD2_OD_T                      	CCD1_OD_T                      	COMM_RD_T                      	CCD2_IG1_T                     	CCD1_IG1_T                     	CCD3_TEMP_T                    	CCD2_TEMP_T                    	CCD1_TEMP_T                    	CCD3_IG1_T                     	COMM_IG2_T                     	VID_PCB_TEMP_T                 	FPGA_PCB_TEMP_T                	CCD1_OD_B                      	CCD2_OD_B                      	CCD3_OD_B                      	COMM_RD_B                      	CCD2_IG1_B                     	CCD3_IG1_B                     	CCD1_TEMP_B                    	CCD2_TEMP_B                    	CCD3_TEMP_B                    	CCD1_IG1_B                     	COMM_IG2_B                     	VID_PCB_TEMP_B                 	FPGA_PCB_TEMP_B                	FPGA_BIAS_DD                   	FPGA_BIAS_OG                   	FPGA_BIAS_ID1                  	FPGA_BIAS_ID2                  	FPGA_BIAS_ID_T                 	FPGA_BIAS_ID_B                 	FPGA_VRCLK_V                   	FPGA_10VA_P_V                  	FPGA_VICLK_V                   	FPGA_5VA_P_V                   	FPGA_5VREF_V                   	FPGA_VCCD_V                    	FPGA_1V5VD_P_V                 	FPGA_3V2_N_V                   	FPGA_5VA_N_V                   	RPSU_VCCD_V                    	RPSU_VCLK_V                    	RPSU_VAN_P_V                   	RPSU_VAN_N_V                   	RPSU_3V3VD_V                   	RPSU_1V5VD_V                   	RPSU_28V_PRI_V                 	RPSU_TEMP1                     	RPSU_VCCD_I                    	RPSU_VCLK_I                    	RPSU_VAN_P_I                   	RPSU_VAN_N_I                   	RPSU_3V3VD_I                   	RPSU_1V5VD_I                   	RPSU_28V_PRI_I                 	RPSU_TEMP_2                    	ProtOvRideFlg                  	hkInvalidFlg                   	SPI_Inh_n                      	3v3ProtErr                     	5vProtErr                      	V3v3ProtCnt                    	V5ProtCnt                      	VccdErrFlg                     	VclkErrFlg                     	VanErrFlg                      	dacExeErr                      	hkTmErr                        	spwTmTOFlg                     	spwTmRspErrFlg                 	spwTcPktErrFlg                 	adcBsyErrFlg                   	CDPUClkSw                      	hkRamErr                       	ADC_BSY_ERR_CNT                	pixelToErr                     	spwStatus                      	spwTmPtypeFlg                  	TwoCmdsErr                     	SPW_STATUS_REG                 	Out_of_range                   
12-03-19_16:28:13	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.322	-6.261	3.326	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.428	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:14	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.319	-6.419	3.326	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.431	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:15	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.974	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.319	-6.421	3.323	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.428	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:16	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.714	11.693	6.319	-6.421	3.326	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.431	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:17	26.104	26.093	25.995	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.693	6.315	-6.421	3.326	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.428	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:18	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.259	3.329	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.431	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:19	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.702	6.312	-6.281	3.326	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.428	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:20	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.974	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.286	3.326	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.431	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:21	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.319	-6.421	3.326	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.427	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:22	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.315	-6.511	3.329	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.431	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:23	26.104	26.093	25.995	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.702	6.310	-6.443	3.324	1.509	29.606	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.428	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:24	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.315	-6.421	3.326	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.431	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:25	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.334	3.327	1.509	29.606	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:26	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.071	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.312	-6.327	3.326	1.509	29.727	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.430	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:27	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.259	3.326	1.509	29.606	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.429	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:28	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.259	3.329	1.509	29.727	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.430	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:29	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.702	6.315	-6.443	3.324	1.509	29.606	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:30	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.319	-6.450	3.329	1.509	29.727	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.430	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:31	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.702	6.317	-6.259	3.323	1.509	29.606	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:32	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.693	6.315	-6.467	3.323	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:33	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.071	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.697	6.317	-6.259	3.321	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:34	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.315	-6.491	3.327	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.429	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:35	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.697	6.319	-6.450	3.324	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:36	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.317	-6.329	3.327	1.509	29.703	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:37	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.702	6.315	-6.419	3.324	1.509	29.630	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.429	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:38	26.104	26.082	25.995	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.253	6.190	-119.61	-120.21	-119.10	6.179	2.182	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.702	6.305	-6.508	3.323	1.509	29.679	25.63	0.076	0.061	0.397	0.466	0.083	0.116	0.429	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:39	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.77	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.974	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.315	-6.421	3.329	1.509	29.679	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.430	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:40	26.104	26.093	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.743	11.697	6.310	-6.528	3.321	1.509	29.679	25.63	0.076	0.061	0.397	0.466	0.082	0.116	0.429	8.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12-03-19_16:28:41	26.104	26.082	25.984	16.076	6.220	6.220	-119.10	-120.38	-120.04	6.204	2.193	22.50	16.89	26.082	26.039	26.017	16.132	6.248	6.190	-119.61	-120.21	-119.10	6.179	2.177	22.14	22.63	21.899	1.990	18.031	13.010	17.878	17.844	9.978	9.986	8.012	4.949	4.976	30.699	1.496	-3.029	-5.325	31.729	11.697	6.319	-6.450	3.327	1.508	29.654	25.63	0.076	0.061	0.397	0.466	0.082	0.117	0.430	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
